Position X,Position Y,mPD
821302.505,835020.926,1.12
821243.07,834861.923,1.03
821299.831,835021.082,0.99
821298.45,834990.43,0.95
821299.13,835001.787,0.94
821299.745,834999.65,0.92
821299.437,835026.248,0.89
821292.197,834965.752,0.87
821299.958,835012.914,0.84
821299.39,835033.054,0.73
821294.278,835016.45,0.64
821300.0077,835043.0806,0.61
821290.199,834958.7826,0.54
821299.8762,835051.3678,0.5
821295.124,834977.191,0.46
821300.4729,835057.6568,0.43
