Position X,Position Y,mPD
821238.7828,834764.4338,4.72
821243.0391,834762.7896,4.72
821271.9817,834740.6436,4.72
821262.624,834884.203,4.72
821330.1625,834682.7293,4.71
821228.1957,834761.4853,4.71
821301.362,834726.1788,4.7
821237.8901,834760.5149,4.7
821231.4056,834762.9312,4.7
821287.4922,834733.3084,4.7
821295.1354,834727.552,4.7
821249.9319,834714.7642,4.7
821215.1622,834771.249,4.7
821241.1009,834717.6524,4.69
821192.1511,834778.2035,4.69
821288.9088,834728.9252,4.69
821250.0536,834752.6423,4.69
821243.3342,834758.1629,4.69
821252.6431,834750.3654,4.69
821252.7962,834747.9577,4.69
821105.584,834803.6443,4.69
821232.7411,834758.4402,4.68
821249.9235,834758.515,4.68
821198.4517,834775.8117,4.68
821219.7115,834767.2181,4.68
821247.585,834711.5799,4.67
821110.8559,834806.3607,4.67
821237.9313,834755.963,4.67
821204.8522,834773.4199,4.67
821243.1215,834753.6858,4.66
821265.0037,834741.4615,4.66
821309.5982,834723.1595,4.66
821297.8269,834732.2976,4.66
821302.4055,834729.0305,4.66
821275.1637,834740.7649,4.66
821217.5533,834768.6362,4.65
821294.3464,834734.8523,4.65
821196.1889,834778.6516,4.65
821290.9658,834737.1069,4.64
821078.4583,834823.2661,4.64
821304.9896,834726.7832,4.64
821238.3056,834713.436,4.64
821202.6394,834776.3597,4.64
821305.6703,834716.8135,4.63
821227.9561,834771.4489,4.63
821244.817,834707.6958,4.63
821279.3207,834741.7464,4.63
821261.43,834880.126,4.63
821210.1358,834772.7021,4.63
821210.6366,834777.0287,4.63
821287.1218,834740.0174,4.62
821309.9353,834713.6954,4.62
821300.3859,834635.2425,4.61
821314.3003,834710.6772,4.61
821195.6088,834765.2738,4.61
821422.9532,834992.152,4.6
821283.2777,834742.7279,4.6
821420.5933,834978.6347,4.6
821303.8779,834719.4055,4.6
821297.8706,834725.6813,4.6
821317.8565,834708.2637,4.6
821421.7733,834985.3434,4.6
821421.1833,834981.989,4.6
821200.3267,834779.1996,4.6
821241.949,834703.7117,4.59
821235.3103,834709.0195,4.59
821253.0199,834721.9961,4.59
821321.4126,834705.8502,4.59
821411.5095,834956.7311,4.59
821073.9841,834813.6065,4.59
821252.0298,834760.3478,4.59
821281.1368,834744.4197,4.59
821265.313,834885.046,4.59
821206.6272,834776.7578,4.59
821218.7646,834775.5741,4.58
821224.7903,834693.7552,4.57
821257.3077,834750.6239,4.57
821252.6362,834848.751,4.57
821166.9679,834785.691,4.57
821240.1031,834766.79,4.57
821242.6981,834765.2654,4.57
821247.1044,834763.5712,4.57
821235.7968,834768.3342,4.57
821301.9855,834722.0975,4.57
821414.4361,834963.451,4.57
821418.978,834974.3028,4.57
821108.4773,834802.7252,4.57
821297.087,834920.93,4.56
821324.8552,834703.4062,4.56
821193.3826,834774.8121,4.56
821415.7494,834966.711,4.56
821251.9558,834845.3561,4.56
821254.0475,834852.4074,4.56
821279.242,834909.828,4.56
821204.3644,834779.5477,4.56
821258.5458,834863.4826,4.55
821086.2282,834805.187,4.55
821251.2422,834841.7612,4.55
821253.1374,834745.1539,4.55
821232.9853,834770.9623,4.55
821239.1992,834699.8269,4.55
821232.8881,834705.5753,4.55
821250.6617,834838.2662,4.55
821257.0023,834859.7732,4.55
821169.4097,834783.8715,4.55
821074.2263,834821.3227,4.55
821294.97,834641.9876,4.54
821258.0606,834726.0813,4.54
821249.9481,834834.6713,4.54
821155.7724,834789.4745,4.54
821172.1514,834782.1519,4.54
821422.8374,834996.06,4.54
821417.3628,834969.9709,4.54
821227.6281,834697.8431,4.54
821421.7316,835010.2082,4.53
821336.9363,834694.2659,4.53
821225.7252,834687.8828,4.53
821270.6555,834749.9889,4.53
821273.805,834766.5339,4.53
821332.5671,834697.564,4.53
821283.0817,834707.1137,4.52
821404.538,835015.97,4.52
821236.2494,834695.7421,4.52
821230.2658,834701.931,4.52
821328.2978,834700.9621,4.52
821208.5022,834779.9957,4.52
821272.6803,834758.1254,4.52
821230.7251,834747.3001,4.52
821074.9097,834792.9484,4.52
821068.5786,834787.6501,4.52
821273.1927,834762.3797,4.52
821249.9807,834831.023,4.52
821256.4935,834747.5973,4.52
821259.9803,834866.3982,4.52
821256.7673,834739.4006,4.51
821237.3123,834742.9071,4.51
821224.1242,834751.9217,4.51
821179.9298,834769.2512,4.51
821064.1026,834781.8971,4.51
821422.2266,835005.0881,4.51
821256.836,834755.0371,4.51
821273.3214,834769.6407,4.51
821066.3906,834784.7236,4.51
821070.0264,834812.7667,4.51
821287.2692,834704.1007,4.51
821245.3696,834715.8909,4.5
821255.0803,834762.7356,4.5
821263.3695,834850.7769,4.5
821071.8042,834817.6065,4.5
821060.2194,834777.1262,4.5
821407.1053,834952.9955,4.5
821222.9568,834775.2953,4.5
821234.5866,834692.8588,4.5
821420.5982,835013.27,4.5
821194.4061,834781.4411,4.5
821291.5567,834700.9877,4.49
821422.9215,834999.9679,4.49
821232.8238,834689.8755,4.49
821248.6831,834766.6997,4.49
821240.0416,834771.8959,4.49
821302.2203,835052.6287,4.49
821064.307,834801.1103,4.49
821059.9577,834791.1496,4.49
821097.3397,834802.0304,4.49
821261.4147,834869.1139,4.49
821244.3624,834769.2978,4.49
821251.8317,834764.6677,4.49
821272.7742,834772.6475,4.49
821302.415,835052.427,4.49
821297.9784,834646.7854,4.48
821412.2835,834984.7202,4.48
821417.8359,835022.3955,4.48
821297.9066,835056.4084,4.48
821298.1567,835052.9928,4.48
821202.2459,834763.8063,4.48
821262.1164,834845.9123,4.48
821236.4301,834773.6541,4.48
821418.7503,835019.3637,4.48
821260.8633,834841.0477,4.47
821209.376,834760.6742,4.47
821218.7249,834780.9619,4.47
821081.5208,834794.8973,4.47
821264.9022,834854.925,4.47
821187.6704,834776.7074,4.47
821232.6186,834775.2122,4.47
821412.2168,834989.5198,4.47
821272.2906,834775.6542,4.47
821205.0933,834781.244,4.47
821191.3318,834782.3002,4.47
821069.5762,834805.0171,4.47
821259.6122,834743.2275,4.47
821403.676,834996.687,4.46
821216.6801,834757.2502,4.46
821225.0956,834778.6285,4.46
821412.2487,834994.2195,4.46
821228.9571,834777.0204,4.46
821222.0603,834779.8452,4.46
821410.7415,834981.0882,4.46
821407.356,835004.142,4.45
821266.5348,834858.9731,4.45
821271.7434,834778.561,4.45
821079.9072,834811.2815,4.45
821357.8907,834935.4808,4.45
821362.7131,834926.111,4.45
821249.947,834824.3318,4.45
821262.9492,834871.8296,4.45
821412.2819,834998.9191,4.45
